City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,tual,-5.6667,132.75,81.79,76,24,4.36,ID,1699519384
151,xai-xai,-25.0519,33.6442,77.5,59,35,9.01,MZ,1699519384
152,petropavlovsk-kamchatsky,53.0452,158.6483,27.19,73,20,21.0,RU,1699519385
153,sint michiel liber,12.15,-68.9833,84.02,84,20,13.8,CW,1699519385
154,tolanaro,-25.0319,46.9987,84.27,70,20,13.8,MG,1699519386
155,hawaiian paradise park,19.5933,-154.9731,74.03,91,75,0.0,US,1699519386
156,gamba,-2.65,10.0,79.88,80,100,2.53,GA,1699519386
157,robore,-18.3333,-59.75,81.64,58,100,3.67,BO,1699519387
158,kilindoni,-7.9139,39.6668,81.46,76,98,6.62,TZ,1699519387
159,nova sintra,14.8667,-24.7167,72.63,67,97,8.9,CV,1699519387
160,utrik,11.2278,169.8474,82.35,83,100,20.89,MH,1699519388
161,antalaha,-14.9003,50.2788,82.94,65,37,8.88,MG,1699519388
162,port saint john's,-31.6229,29.5448,70.12,70,81,8.86,ZA,1699519388
163,aasiaat,68.7098,-52.8699,29.73,80,100,14.16,GL,1699519389
164,san patricio,28.017,-97.5169,75.83,92,97,6.98,US,1699519389
165,oyama,36.3,139.8,72.59,45,0,2.13,JP,1699519389
166,palikir - national government center,6.9248,158.1611,81.45,78,100,6.91,FM,1699519216
167,pilsrundale,56.4167,24.0,47.52,87,94,11.12,LV,1699519390
168,lebu,-37.6167,-73.65,48.36,92,15,16.8,CL,1699519391
169,pemba,-12.974,40.5178,86.7,70,75,14.97,MZ,1699519391
170,caleta de carquin,-11.0925,-77.6267,64.47,87,97,7.11,PE,1699519391
171,medina,24.4686,39.6142,84.63,21,0,12.66,SA,1699519327
172,constitucion,-35.3333,-72.4167,52.32,79,95,6.06,CL,1699519392
173,sinabang,2.4803,96.3801,80.38,80,100,5.03,ID,1699519392
174,jharsuguda,21.85,84.0333,89.71,27,72,3.44,IN,1699519393
175,happy valley-goose bay,53.3168,-60.3315,26.91,80,75,10.36,CA,1699519099
176,margaret river,-33.95,115.0667,60.55,51,67,14.99,AU,1699519110
177,hami,42.8,93.45,51.71,19,39,1.19,CN,1699519394
178,melfi,40.9965,15.6514,52.5,57,0,3.27,IT,1699519394
179,bredasdorp,-34.5322,20.0403,72.59,38,0,7.23,ZA,1699519394
